,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Fe2O3,Y2O3,La2O3,TiO2,GeO2,ZrO2,P2O5,V2O5,Tannealing
5821,0.239,0.4139,0.0,0.0,0.0,0.3471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,886.457373046875
5822,0.6563,0.2282,0.0192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0957,0.0,857.05
5823,0.6712,0.0,0.1642,0.0,0.0,0.0,0.0,0.1646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1063.15
5824,0.6726000000000001,0.1597,0.0,0.0,0.0,0.0371,0.0,0.0283999999999999,0.0431,0.0399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,808.15
5825,0.7322,0.0283999999999999,0.0458,0.0124,0.0481,0.0,0.0,0.0,0.1321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,926.9108642578124
5826,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109,0.0,0.271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891.15
5827,0.7809,0.0898,0.0153,0.0,0.0262,0.0,0.0,0.0202,0.0266,0.0123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0127,0.0,0.0,882.15
5828,0.7328926710732893,0.0,0.0,0.0,0.0,0.0,0.0,0.0106998930010699,0.0549994500054999,0.0,0.0,0.1981980180198198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.2257446289063
5829,0.6634000000000001,0.0188,0.1278,0.0325,0.0,0.0,0.0,0.1553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,915.15
5830,0.0,0.2289999999999999,0.226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.545,0.0,957.15
5831,0.657,0.0409999999999999,0.1159999999999999,0.048,0.0,0.0,0.0,0.108,0.0289999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,892.15
5832,0.649,0.008,0.165,0.017,0.138,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1054.15
5833,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,729.3022521972656
5834,0.5993,0.0669,0.1379,0.01,0.0,0.0,0.0,0.1449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,846.15
5835,0.6805,0.0289,0.1262,0.0798,0.0442,0.0262,0.0,0.0,0.0,0.0,0.0129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1053.15
5836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0556,0.0,0.0,0.0,0.0,0.0,0.0,0.2221999999999999,0.0,0.0,0.0,0.7222,0.0,793.15
5837,0.658,0.031,0.0276,0.1193,0.0086,0.0304,0.0,0.0,0.1178,0.0,0.0066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,897.15
5838,0.7463000000000001,0.0,0.0,0.0,0.0441,0.0,0.0,0.0661,0.0696,0.0481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0258,0.0,0.0,847.1404174804687
5839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0279999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.972,0.0,0.0,0.0,705.7888854980469
5840,0.7395,0.0,0.0867,0.0,0.0,0.0,0.0433,0.0433,0.0867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,796.15
5841,0.211,0.439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911.15
