,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Fe2O3,Y2O3,La2O3,TiO2,GeO2,ZrO2,P2O5,V2O5,E
5074,0.7552755275527553,0.0,0.0,0.0,0.0549054905490549,0.0,0.0,0.1558155815581558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034003400340034,0.0,0.0,0.0,0.0,74.4000015258789
5075,0.6569656965696571,0.0046004600460046,0.1142114211421142,0.0482048204820482,0.0,0.0,0.0,0.167016701670167,0.0069006900690069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.00000000000001
5076,0.2104,0.0,0.0,0.0,0.0,0.0,0.0,0.1578999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6317,0.0,0.0,0.0,70.59999847412108
5077,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,69.19999694824219
5078,0.6545000000000001,0.0,0.1447,0.0512,0.0,0.0,0.0,0.1496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.62990000000002
5079,0.6384000000000001,0.0,0.0483,0.0698,0.0250999999999999,0.0412999999999999,0.0,0.0454,0.0523,0.0,0.0611,0.0,0.0,0.0,0.0,0.0,0.0,0.0171,0.0,0.0,78.0
5080,0.5966596659665967,0.0,0.036003600360036,0.042004200420042,0.0721072107210721,0.0,0.1862186218621862,0.019001900190019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048004800480048,0.0,0.0,0.0,0.0,95.0999984741211
5081,0.5159,0.0,0.1923,0.2354,0.0564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.7
5082,0.7278,0.0,0.0,0.0528,0.0611,0.0,0.0,0.1583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.19999694824219
5083,0.6942694269426942,0.0004000400040004,0.178017801780178,0.016001600160016,0.0293029302930293,0.0,0.0,0.0,0.0,0.0,0.0109010901090109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0705070507050705,0.0,77.69999694824216
5084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,44.7
5085,0.4831,0.0,0.0,0.0,0.0,0.0,0.0,0.0338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4831,0.0,0.0,0.0,66.28000000000003
5086,0.8333833383338334,0.0,0.0833083308330833,0.0,0.0,0.0,0.0833083308330833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.5
5087,0.31,0.36,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,60.0
5088,0.0759,0.0,0.0,0.0,0.0,0.0,0.0,0.0759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8482,0.0,0.0,0.0,61.40000152587892
5089,0.4818,0.1261,0.0562,0.0,0.0,0.0878999999999999,0.0,0.0,0.0,0.0982,0.0,0.0,0.0,0.0,0.1498,0.0,0.0,0.0,0.0,0.0,91.0
