,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Fe2O3,Y2O3,La2O3,TiO2,GeO2,ZrO2,P2O5,V2O5,Tliq
17783,0.7654000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.2346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1178.15
17784,0.0,0.0,0.0,0.0,0.4194,0.0,0.0,0.2929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2877,0.0,1568.15
17785,0.6982,0.0,0.0,0.073,0.0399,0.0,0.0,0.1889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1107.15
17786,0.6687999999999998,0.0,0.0658,0.0417999999999999,0.1056999999999999,0.0,0.0314,0.0811999999999999,0.0052999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1418.15
17787,0.66,0.0123,0.109,0.0572,0.0,0.0,0.0,0.1341,0.0233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1323.15
17788,0.5681431856814319,0.0,0.1120887911208879,0.0,0.1303869613038696,0.0,0.0,0.0354964503549645,0.0353964603539646,0.0,0.1184881511848815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1448.15
17789,0.4999000199960007,0.0500899820035992,0.03999200159968,0.0500899820035992,0.0499900019996,0.1999600079984003,0.0,0.016996600679864,0.032993401319736,0.02999400119976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02999400119976,0.0,0.0,1320.15
17790,0.779,0.0,0.0266,0.0,0.0,0.0,0.0,0.0,0.1944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1068.15
17791,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.15
17792,0.6324000000000001,0.0,0.1163,0.1494,0.0868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0141999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1463.15
17793,0.3997399739973997,0.0,0.0,0.1522152215221522,0.448044804480448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1723.15
17794,0.6335000000000001,0.092,0.114,0.053,0.047,0.0,0.0,0.042,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1268.15
17795,0.6538999999999999,0.0,0.1050999999999999,0.0,0.0,0.0,0.0,0.241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1133.15
17796,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1073.15
17797,0.6501,0.0,0.1225,0.1705,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633.15
17798,0.5891,0.0,0.1095,0.0688,0.0,0.0,0.1032,0.1094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,1333.15
17799,0.6990000000000001,0.0,0.15,0.025,0.05,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1563.15
17800,0.52004799520048,0.0796920307969203,0.0390960903909609,0.0,0.0417958204179582,0.1013898610138986,0.0,0.0503949605039496,0.0,0.0297970202979702,0.0843915608439156,0.0,0.0,0.0,0.0,0.0351964803519648,0.0,0.0126987301269873,0.0054994500549945,0.0,1202.15
17801,0.6818,0.0635999999999999,0.1215999999999999,0.0310999999999999,0.0667999999999999,0.0,0.0,0.0,0.0,0.0,0.0350999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1433.15
17802,0.747,0.0,0.126,0.0,0.049,0.0,0.0,0.0,0.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1588.15
17803,0.6,0.04,0.16,0.0,0.0,0.0,0.0,0.14,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,1043.15
17804,0.7297,0.0,0.0,0.0,0.0,0.0,0.0,0.0766,0.1937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023.15
17805,0.6574342565743426,0.0,0.1341865813418658,0.0954904509549045,0.060993900609939,0.0518948105189481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1482.15
17806,0.6482,0.0,0.0701,0.0301,0.03,0.0,0.0,0.2001,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1181.15
17807,0.0,0.0,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.469,0.0,1078.15
17808,0.667,0.008,0.13,0.12,0.025,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1578.15
17809,0.6422,0.0,0.019,0.0801,0.0805,0.0421,0.0,0.0469,0.0466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0419,0.0,0.0,1354.15
