,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Fe2O3,Y2O3,La2O3,TiO2,GeO2,ZrO2,P2O5,Tmelt
253,0.6893,0.0,0.1249,0.0929,0.0929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003.1506103515624
254,0.5501,0.0,0.1497,0.1502,0.1001,0.0,0.0,0.0499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1750.1401123046876
255,0.6903000000000001,0.0,0.0069,0.0,0.0,0.0475,0.0,0.0599,0.0595,0.1352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1741.4633544921876
256,0.4849,0.0418,0.0571,0.1446,0.1559,0.0,0.078,0.0187999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0189,0.0,1245.15
257,0.594,0.06,0.15,0.02,0.0,0.0,0.0,0.1119999999999999,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,1987.15
258,0.6796,0.0801,0.11,0.02,0.0552,0.0,0.0,0.0,0.0,0.0,0.0550999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003.15
259,0.4719,0.0957,0.0397,0.0,0.0466,0.1585,0.0,0.0,0.0,0.0,0.0686,0.0,0.0,0.0,0.0271,0.0755,0.0,0.0161,0.0,1434.15
260,0.759262036898155,0.007299635018249,0.0030998450077496,0.0,0.0630968451577421,0.0,0.0,0.0764961751912404,0.0663966801659916,0.023298835058247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1686.6010498046876
261,0.6135999999999999,0.0750999999999999,0.1400999999999999,0.0600999999999999,0.0800999999999999,0.0,0.0,0.0,0.0,0.0,0.0149999999999999,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,1850.15
262,0.667,0.0,0.0655,0.1205,0.0,0.0,0.0,0.147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1980.15
263,0.552,0.19,0.0,0.0,0.0,0.065,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.0,0.0,0.0,1309.832861328125
264,0.7515999999999999,0.0,0.0,0.0,0.0506,0.0,0.0,0.1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1713.150244140625
265,0.4976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5024000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1065.6821044921876
266,0.612,0.0,0.0601,0.0,0.3278999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1646.0805419921876
267,0.6713328667133286,0.0773922607739226,0.0,0.0147985201479852,0.0533946605339466,0.0,0.0,0.1641835816418358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1505.764013671875
268,0.5245000000000001,0.1846,0.1061,0.0,0.0,0.0,0.0,0.1042,0.0806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1486.15
269,0.675,0.0,0.025,0.13,0.015,0.0,0.0,0.149,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783.1493896484376
270,0.6667000000000001,0.0,0.0,0.0,0.0,0.0,0.0533,0.08,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1476.54599609375
271,0.6105694715264236,0.0336983150842457,0.0843957802109894,0.0145992700364981,0.2288885555722213,0.0194990250487475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007899605019749,0.0,1728.15
272,0.7143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1667.4159912109376
273,0.6920000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1525.2460693359376
274,0.5035000000000001,0.104,0.0398,0.0,0.0426,0.1137,0.0,0.0257,0.0,0.0302999999999999,0.086,0.0,0.0,0.0,0.0,0.0359,0.0,0.0129,0.0056,1459.15
275,0.6491649164916491,0.0,0.0584058405840584,0.0518051805180517,0.0898089808980898,0.0,0.0,0.1486148614861486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1750.1503662109376
276,0.4409,0.0,0.1142,0.0194,0.3691,0.0,0.0,0.0272,0.0214,0.0,0.0,0.0,0.0077,0.0,0.0,0.0,0.0,0.0,0.0,1538.15
277,0.6607000000000001,0.0749,0.1036,0.0501,0.0953,0.0132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1886.149755859375
278,0.69006900690069,0.0,0.0603060306030603,0.0896089608960896,0.0,0.01000100010001,0.0,0.0097009700970097,0.11001100110011,0.0,0.0303030303030302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1957.14951171875
279,0.6507349265073492,0.0753924607539246,0.0732926707329267,0.0133986601339866,0.1307869213078692,0.0447955204479552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026997300269973,0.0,1802.15
280,0.4907,0.1506,0.0096,0.0,0.0152,0.0154,0.0899,0.0888,0.0209,0.0354,0.0152,0.0,0.0,0.0,0.0,0.0409999999999999,0.0,0.0266,0.0,1263.15
281,0.6415000000000001,0.0,0.0799,0.0875,0.0091,0.0159,0.0,0.15,0.0,0.0,0.0161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1849.1506103515624
282,0.75,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1578.3075927734376
283,0.7387,0.0,0.0,0.0,0.1016,0.0,0.0,0.1597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1678.995703125
284,0.3013999999999999,0.2658999999999999,0.0844999999999999,0.0,0.0,0.0,0.0,0.3481999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1166.5571044921876
285,0.674,0.0,0.0,0.0,0.0,0.0,0.326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1455.7143310546876
286,0.5,0.066,0.0,0.0,0.0,0.0,0.0,0.267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1669999999999999,0.0,0.0,0.0,1098.9458374023438
287,0.6390022403584573,0.0,0.0197031525044007,0.0333053288526164,0.1017162746039366,0.0,0.0,0.0541086573851816,0.0570091214594335,0.0,0.0453072491598655,0.0,0.0,0.0,0.0,0.0,0.0,0.0490078412546007,0.0,1734.9557861328126
288,0.543,0.0598,0.0408,0.0,0.0436,0.1378,0.0,0.0,0.0,0.0311,0.0882,0.0,0.0,0.0,0.0,0.0368,0.0,0.0132,0.0056999999999999,1542.15
289,0.5334000000000001,0.0506,0.1117,0.0067,0.0458999999999999,0.0,0.0,0.21,0.0324,0.0,0.0,0.0,0.0093,0.0,0.0,0.0,0.0,0.0,0.0,1628.15
290,0.7201000000000001,0.0092,0.0157,0.0223,0.0298,0.0084,0.0387,0.0435,0.0682,0.0,0.0434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1718.15
