,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Fe2O3,Y2O3,La2O3,TiO2,GeO2,ZrO2,P2O5,V2O5,Tsoft
5917,0.1217,0.3151,0.0717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653.15
5918,0.0,0.77,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,922.15
5919,0.6297629762976297,0.0312031203120312,0.1142114211421142,0.1061106110611061,0.0704070407040704,0.03000300030003,0.0,0.0106010601060106,0.0,0.0,0.0064006400640064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1208.15
5920,0.6424000000000001,0.0,0.167,0.0,0.0,0.0,0.073,0.0777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0394,0.0,1203.15
5921,0.15,0.72,0.0,0.0,0.01,0.0,0.04,0.0,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,873.15
5922,0.2964,0.2361,0.0134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4540999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,753.15
5923,0.6277,0.0,0.0031,0.0313,0.0224,0.0,0.0844,0.1017,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0921,0.0,0.0,953.15
5924,0.633,0.092,0.114,0.053,0.047,0.0,0.0,0.042,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1149.15
5925,0.0,0.862,0.0,0.0,0.02,0.0,0.0,0.0,0.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,797.15
5926,0.0,0.2996999999999999,0.0,0.0,0.1204,0.0,0.066,0.0,0.0,0.4391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0748,0.0,837.15
5927,0.5639000000000001,0.0,0.0,0.0,0.0,0.0583,0.0252,0.0,0.0,0.1272,0.0,0.1497,0.0,0.0,0.0,0.0601,0.0,0.0153,0.0,0.0,955.15
5928,0.693,0.0,0.1783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1089,0.0,0.0,0.0,0.0,0.0,1299.15
5929,0.0,0.6,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1033.15
5930,0.5523,0.0219,0.0,0.0,0.0,0.0,0.0,0.0,0.0203,0.0,0.0,0.4046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,783.15
5931,0.5992801439712058,0.0,0.03999200159968,0.0,0.1008798240351929,0.139872025594881,0.0,0.0,0.0,0.0,0.046990601879624,0.0,0.0,0.0,0.0,0.030993801239752,0.0,0.026994601079784,0.0,0.0,1185.15
5932,0.5659000000000001,0.0,0.0,0.0,0.0,0.1006,0.0,0.0097,0.0129,0.0,0.0,0.2557,0.0,0.0,0.02,0.0152,0.0,0.0,0.0,0.0,954.95
5933,0.425,0.15,0.025,0.0,0.0,0.075,0.1,0.05,0.0,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,873.15
5934,0.6426999999999999,0.0279999999999999,0.1291,0.0781,0.0871,0.026,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,1247.15
5935,0.243,0.2648999999999999,0.0,0.0,0.0,0.0401,0.0514,0.062,0.0081999999999999,0.3115,0.0,0.0,0.0,0.0,0.0189,0.0,0.0,0.0,0.0,0.0,841.15
5936,0.1453854614538546,0.3606639336066393,0.0213978602139786,0.0,0.0,0.0,0.0,0.0,0.0,0.2279772022797719,0.0,0.2445755424457553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,765.15
5937,0.603,0.0,0.13,0.066,0.0,0.0,0.0,0.16,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,1138.15
